price,volume,sma
11.8,3049178,22.82
11.38,1960695,22.72
12.12,3390150,22.6
12.83,4097398,22.49
13.1,3655490,22.38
12.74,2721487,22.27
12.93,2069739,22.16
12.54,1821594,22.05
13.24,2042618,21.94
14.56,4024702,21.84
14.1,3693656,21.75
14.02,2539187,21.67
14.37,1661803,21.58
14.26,2791806,21.49
13.7,1391010,21.39
14.1,1585891,21.29
14.25,1441618,21.2
14.4,1902259,21.11
14.62,1637617,21.02
14.57,2410571,20.91
14.69,1924766,20.82
13.84,1727089,20.73
13.4,1923368,20.64
13.44,1724293,20.54
13.82,1543112,20.43
14.07,1321669,20.33
14.78,2738263,20.23
15.39,2304044,20.12
14.91,1567997,19.99
14.94,2690032,19.87
14.97,1310206,19.75
14.87,2104829,19.64
15.06,2973266,19.54
15.28,2448038,19.45
15.11,2672277,19.36
14.57,11550556,19.27
14.74,12996926,19.18
14.35,13580172,19.08
14.69,8538704,19.0
15.15,2515561,18.91
15.85,6878999,18.84
16.3,8316143,18.77
16.27,5990290,18.7
16.4,4573837,18.62
16.46,4702872,18.54
16.61,3349748,18.47
16.99,3414335,18.42
18.07,6792183,18.36
17.96,3114185,18.29
18.2,5810228,18.23
18.08,3657168,18.19
17.68,3136693,18.15
18.54,5034058,18.13
17.22,3430133,18.1
17.4,3045263,18.07
17.45,4859448,18.04
17.4,3012690,18.02
17.23,2517938,17.99
16.72,3982203,17.96
16.87,3732520,17.93
17.21,1246177,17.89
16.96,2467051,17.85
17.41,1909948,17.82
17.48,1600430,17.8
17.21,2142016,17.78
17.66,3018701,17.75
18.77,4558319,17.74
19.79,7155244,17.73
19.71,5325262,17.73
19.77,3488569,17.72
19.3,2959286,17.71
19.15,1730864,17.71
18.74,1979848,17.7
18.36,3117260,17.67
18.38,2600280,17.65
17.42,3577342,17.63
17.73,1993548,17.62
17.19,2725261,17.62
16.4,2172352,17.61
16.9,3078815,17.6
17.38,1453780,17.59
17.54,2370029,17.6
17.89,2885752,17.59
17.66,2198075,17.6
17.77,2638445,17.6
18.32,2756716,17.61
17.87,1535983,17.6
17.25,1552060,17.58
16.4,3936209,17.56
16.29,3709593,17.55
15.93,2612443,17.51
15.68,4329047,17.47
16.14,2868137,17.43
15.79,3290193,17.39
16.21,2943629,17.36
16.48,3103700,17.32
16.6,2813195,17.29
15.73,2347661,17.25
17.42,7024950,17.22
17.0,3377428,17.19
17.06,2054501,17.15
17.51,1873739,17.12
17.93,2756157,17.1
18.5,6403958,17.07
18.8,3846457,17.05
19.91,6266815,17.03
21.1,5819035,17.02
21.07,4811636,17.01
20.78,4095022,16.99
21.01,2545059,16.99
21.79,5096828,16.98
21.86,4470804,16.97
21.74,4149683,16.97
21.54,6985526,16.96
21.53,3553856,16.95
22.52,4566707,16.95
22.37,5432768,16.95
22.09,3069868,16.95
20.74,5468976,16.95
21.32,2314529,16.95
20.75,2318723,16.96
20.16,2467330,16.95
20.23,3734198,16.95
20.07,5377966,16.95
21.1,3748737,16.95
22.05,3609356,16.96
21.55,6854114,16.96
21.16,4211335,16.96
20.61,2990322,16.96
20.46,1465523,16.97
20.64,2808442,16.98
19.8,2935101,16.98
20.03,5200001,16.99
19.41,4747468,17.0
19.53,3185343,17.01
19.58,2407915,17.02
20.46,9356395,17.04
21.11,4315486,17.05
20.89,3828423,17.07
21.13,3715604,17.08
20.37,2904345,17.09
19.5,8178300,17.09
18.79,4041478,17.08
18.68,3438940,17.08
18.09,2454888,17.07
17.9,4021347,17.07
18.14,2715895,17.07
18.38,3447748,17.08
17.57,3960674,17.08
17.21,3502409,17.08
16.81,2487042,17.07
16.79,3551200,17.07
18.13,3331015,17.07
17.35,4998549,17.07
16.87,3757405,17.07
17.18,2274686,17.07
18.74,4304023,17.08
17.96,3405528,17.08
17.87,3368481,17.09
18.12,5153727,17.09
17.75,2588956,17.09
17.23,2499904,17.09
16.97,3736295,17.08
16.8,2972707,17.07
16.48,2640123,17.06
16.38,1857103,17.05
16.12,1714228,17.03
15.77,4138220,17.02
15.92,2989343,17.01
15.41,1863814,17.0
15.39,2808582,16.99
15.15,2903786,16.98
14.87,2211636,16.97
14.31,3352124,16.95
14.93,3656189,16.94
15.25,6978956,16.94
14.89,3401753,16.94
14.49,3964309,16.93
14.19,3019680,16.92
15.22,4357985,16.92
15.25,3367223,16.91
14.67,3960254,16.9
14.49,3845199,16.89
14.46,4192742,16.88
14.58,4355469,16.88
14.22,2742596,16.87
14.0,3285999,16.86
14.63,1979428,16.86
14.28,3194290,16.86
13.96,2621250,16.86
13.25,4059093,16.85
13.88,4723702,16.86
14.46,2448178,16.86
13.88,3802560,16.86
13.67,2677869,16.87
13.33,2426648,16.88
14.22,3783687,16.88
14.41,4418379,16.9
14.23,2868277,16.91
14.06,3817519,16.92
13.72,3594398,16.93
13.12,3083149,16.94
12.53,4639403,16.94
12.07,4534553,16.94
11.92,4120325,16.93
11.43,6324552,16.92
10.14,6308195,16.91
10.45,3480601,16.9
11.06,3001786,16.89
11.19,4749705,16.87
11.4,2289085,16.86
10.72,3884343,16.84
10.17,2628659,16.82
9.47,1910926,16.8
9.82,1985999,16.78
10.18,2245328,16.76
10.38,2956351,16.74
10.09,2253995,16.72
9.94,1577224,16.69
9.59,3225326,16.67
9.68,3490806,16.64
9.68,3332972,16.62
9.63,4784515,16.6
10.53,4195398,16.59
9.78,10734263,16.57
10.29,3668911,16.55
10.27,3439360,16.53
9.67,2544500,16.5
9.78,2231348,16.47
9.24,4642898,16.45
8.96,4611583,16.42
8.57,8322853,16.38
8.11,5418229,16.35
7.76,7009292,16.31
8.15,4638983,16.28
8.28,7068428,16.25
8.54,5318551,16.21
8.89,5283042,16.19
9.22,4832886,16.16
9.31,2946844,16.13
9.22,4427606,16.1
9.04,3338843,16.06
8.81,2697161,16.02
8.91,3135295,15.99
8.9,5656588,15.95
8.49,3454178,15.91
8.43,4106066,15.87
8.06,3924745,15.82
7.97,4394333,15.77
8.49,2937198,15.72
8.32,4163244,15.67
7.9,3408044,15.62
7.88,3721057,15.57
7.88,4300528,15.52
7.55,2815712,15.47
7.42,3280127,15.42
7.12,3176955,15.37
6.95,3569374,15.32
7.38,4898312,15.27
6.58,4592290,15.22
6.55,6785053,15.17
6.58,5277869,15.11
6.65,3241822,15.06
7.17,3469836,15.01
6.79,4005829,14.96
7.3,3689881,14.9
7.3,4631854,14.85
7.56,3410002,14.79
